\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000023_V01_east_tfa.dat
 2454039.699538 14.64844 0.00950 
 2454039.705000 14.66768 0.00965 
 2454039.707189 14.65951 0.00930 
 2454039.711809 14.65578 0.00931 
 2454039.716430 14.66444 0.01018 
 2454039.721049 14.65753 0.01028 
 2454039.725669 14.64530 0.01038 
 2454039.730289 14.65045 0.00914 
 2454039.734910 14.64893 0.00896 
 2454039.739530 14.65548 0.00908 
 2454039.744150 14.66065 0.01001 
 2454039.748771 14.65703 0.01037 
 2454039.753393 14.65658 0.01009 
 2454039.758013 14.66309 0.01028 
 2454039.762634 14.64974 0.01017 
 2454039.767256 14.66804 0.00976 
 2454039.771875 14.65177 0.00951 
 2454039.776495 14.65083 0.00937 
 2454039.781115 14.65862 0.00933 
 2454040.685923 14.65347 0.01062 
 2454040.688110 14.65935 0.01057 
 2454040.690298 14.65324 0.01041 
 2454040.692486 14.66088 0.01067 
 2454040.694674 14.66673 0.01026 
 2454040.696862 14.65957 0.01028 
 2454040.699049 14.64551 0.01035 
 2454040.701237 14.66523 0.01042 
 2454040.703425 14.64439 0.01051 
 2454040.708045 14.65533 0.01012 
 2454040.712666 14.65703 0.01010 
 2454040.717287 14.67128 0.01008 
 2454040.721906 14.65151 0.00998 
 2454040.726526 14.65227 0.00992 
 2454040.731146 14.66470 0.00980 
 2454040.735765 14.66584 0.00999 
 2454040.740386 14.66100 0.01000 
 2454040.745006 14.65503 0.01005 
 2454040.749625 14.65662 0.00997 
 2454040.754245 14.66110 0.01008 
 2454040.758865 14.65771 0.00990 
 2454040.763485 14.65936 0.01001 
 2454040.768107 14.65810 0.01000 
 2454040.772728 14.64896 0.01014 
 2454040.777349 14.64421 0.00989 
 2454048.666500 14.66518 0.00974 
 2454048.671019 14.65483 0.00998 
 2454048.675540 14.65166 0.01025 
 2454048.680900 14.66618 0.00940 
 2454048.686262 14.65308 0.00968 
 2454048.691624 14.65023 0.00979 
 2454048.696984 14.66205 0.00986 
 2454048.699084 14.65447 0.00998 
 2454048.703605 14.64779 0.01018 
 2454048.708124 14.66633 0.00931 
 2454048.712704 14.66343 0.00982 
 2454048.717223 14.64656 0.01007 
 2454048.721743 14.66798 0.00943 
 2454048.726267 14.65566 0.00981 
 2454048.730787 14.65862 0.00957 
 2454048.735304 14.64840 0.00973 
 2454048.739824 14.64832 0.00980 
 2454048.744344 14.66241 0.00931 
 2454048.748864 14.65697 0.00932 
 2454048.753384 14.65162 0.00964 
 2454050.661443 14.65697 0.00788 
 2454050.665961 14.64671 0.00776 
 2454050.670486 14.65201 0.00814 
 2454050.675859 14.65375 0.00802 
 2454050.681227 14.65167 0.00798 
 2454050.686590 14.65772 0.00726 
 2454050.691959 14.65629 0.00755 
 2454050.694063 14.66967 0.00750 
 2454050.698585 14.65145 0.00739 
 2454050.703103 14.65873 0.00746 
 2454050.707628 14.65916 0.00733 
 2454050.712143 14.64387 0.00776 
 2454050.721189 14.63084 0.00784 
 2454050.725707 14.66979 0.00761 
 2454050.730228 14.64561 0.00776 
 2454050.734754 14.64664 0.00786 
 2454050.739272 14.64954 0.00804 
 2454050.743796 14.65993 0.00862 
 2454050.748318 14.65304 0.00801 
 2454052.657430 14.64959 0.00902 
 2454052.661956 14.64597 0.00870 
 2454052.666475 14.64361 0.00859 
 2454052.671844 14.66072 0.00815 
 2454052.677207 14.67216 0.00831 
 2454052.682575 14.65483 0.00863 
 2454052.687946 14.65394 0.00805 
 2454052.690052 14.64763 0.00830 
 2454052.694574 14.65367 0.00872 
 2454052.699097 14.64896 0.00861 
 2454052.703616 14.65790 0.00842 
 2454052.708139 14.67455 0.00823 
 2454052.712656 14.65526 0.00811 
 2454052.717178 14.65902 0.00835 
 2454052.721694 14.64718 0.00831 
 2454052.730734 14.65683 0.00852 
 2454052.735259 14.65198 0.00817 
 2454052.739783 14.65084 0.00876 
 2454052.744299 14.66473 0.00836 
 2454053.651245 14.65276 0.00894 
 2454053.655770 14.66108 0.00855 
 2454053.660295 14.65433 0.00760 
 2454053.664818 14.66836 0.00815 
 2454053.670182 14.65476 0.00817 
 2454053.675551 14.64773 0.00811 
 2454053.680921 14.66358 0.00788 
 2454053.686292 14.66131 0.00796 
 2454053.688397 14.65346 0.00792 
 2454053.692922 14.66355 0.00772 
 2454053.697438 14.65486 0.00766 
 2454053.706490 14.64686 0.00770 
 2454053.711014 14.66294 0.00746 
 2454053.715536 14.65368 0.00739 
 2454053.720054 14.66555 0.00746 
 2454053.724578 14.65941 0.00741 
 2454053.729100 14.64607 0.00761 
 2454053.733619 14.65732 0.00759 
 2454053.738144 14.65201 0.00755 
 2454053.742669 14.66172 0.00736 
 2454054.652340 14.65904 0.00808 
 2454054.656858 14.65203 0.00830 
 2454054.661383 14.65550 0.00787 
 2454054.666755 14.66966 0.00759 
 2454054.672125 14.65022 0.00767 
 2454054.677497 14.64625 0.00782 
 2454054.682867 14.65693 0.00754 
 2454054.684971 14.65627 0.00765 
 2454054.689493 14.65329 0.00770 
 2454054.694012 14.66132 0.00717 
 2454054.698536 14.64898 0.00731 
 2454054.703058 14.66688 0.00737 
 2454054.707575 14.66127 0.00755 
 2454054.712099 14.65452 0.00746 
 2454054.716624 14.64637 0.00734 
 2454054.721147 14.66998 0.00731 
 2454054.725665 14.66498 0.00737 
 2454054.730189 14.65789 0.00733 
 2454054.734714 14.65750 0.00720 
 2454054.739238 14.65982 0.00732 
 2454055.646626 14.65451 0.00857 
 2454055.651150 14.66519 0.00849 
 2454055.655676 14.65895 0.00820 
 2454055.661040 14.66090 0.00825 
 2454055.666408 14.66068 0.00824 
 2454055.671778 14.65908 0.00794 
 2454055.677148 14.65376 0.00808 
 2454055.679253 14.65876 0.00801 
 2454055.683777 14.65010 0.00801 
 2454055.688302 14.65734 0.00811 
 2454055.692827 14.63992 0.00807 
 2454055.697343 14.66375 0.00795 
 2454055.701867 14.66213 0.00775 
 2454055.706389 14.66002 0.00772 
 2454055.710907 14.65700 0.00762 
 2454055.715432 14.64850 0.00802 
 2454055.719956 14.65059 0.00800 
 2454055.724473 14.65430 0.00786 
 2454055.728997 14.65991 0.00774 
 2454055.733520 14.65950 0.00758 
 2454056.647318 14.65472 0.00776 
 2454056.651837 14.64881 0.00779 
 2454056.656361 14.65485 0.00789 
 2454056.661723 14.65123 0.00759 
 2454056.667091 14.66180 0.00787 
 2454056.672454 14.66195 0.00766 
 2454056.677821 14.64424 0.00756 
 2454056.679924 14.64539 0.00745 
 2454056.684448 14.66091 0.00740 
 2454056.688972 14.66055 0.00739 
 2454056.693492 14.66342 0.00734 
 2454056.698015 14.65133 0.00720 
 2454056.702537 14.66359 0.00746 
 2454056.707056 14.65453 0.00739 
 2454056.711581 14.66155 0.00710 
 2454056.716105 14.64823 0.00737 
 2454056.720631 14.66430 0.00707 
 2454056.725154 14.66903 0.00717 
 2454056.729671 14.63965 0.00723 
 2454056.734196 14.65525 0.00713 
 2454057.641528 14.65328 0.00809 
 2454057.646052 14.64155 0.00811 
 2454057.650575 14.65569 0.00790 
 2454057.655939 14.65673 0.00784 
 2454057.661302 14.65340 0.00781 
 2454057.666667 14.65549 0.00774 
 2454057.672036 14.64642 0.00823 
 2454057.677400 14.65414 0.00771 
 2454057.679503 14.64842 0.00782 
 2454057.684026 14.65661 0.00792 
 2454057.688542 14.64914 0.00793 
 2454057.693066 14.67060 0.00762 
 2454057.697587 14.66203 0.00757 
 2454057.702107 14.65741 0.00758 
 2454057.706631 14.65286 0.00785 
 2454057.711156 14.65420 0.00783 
 2454057.715681 14.64937 0.00761 
 2454057.720203 14.64724 0.00784 
 2454057.724722 14.65964 0.00743 
 2454057.729246 14.66431 0.00751 
 2454058.641923 14.65482 0.00763 
 2454058.646443 14.65840 0.00760 
 2454058.650963 14.65961 0.00776 
 2454058.656328 14.66320 0.00762 
 2454058.661697 14.66479 0.00756 
 2454058.667066 14.64439 0.00762 
 2454058.672429 14.66609 0.00752 
 2454058.674533 14.66126 0.00772 
 2454058.679057 14.66488 0.00747 
 2454058.683579 14.64882 0.00763 
 2454058.688097 14.64253 0.00746 
 2454058.692621 14.66585 0.00730 
 2454058.697147 14.64805 0.00731 
 2454058.701672 14.66410 0.00738 
 2454058.706194 14.65325 0.00739 
 2454058.710713 14.65448 0.00764 
 2454058.715237 14.64759 0.00757 
 2454058.719762 14.65730 0.00729 
 2454058.724285 14.64399 0.00723 
 2454058.728802 14.66618 0.00723 
 2454059.580521 14.64166 0.00854 
 2454059.585045 14.66276 0.00852 
 2454059.589567 14.64528 0.00835 
 2454059.594085 14.65374 0.00864 
 2454059.598608 14.65234 0.00873 
 2454059.603125 14.64767 0.00833 
 2454059.607649 14.64332 0.00829 
 2454059.612171 14.66121 0.00826 
 2454059.616690 14.65340 0.00835 
 2454059.621213 14.65796 0.00805 
 2454059.625736 14.65354 0.00816 
 2454059.630255 14.65763 0.00837 
 2454059.634780 14.65333 0.00816 
 2454059.639301 14.65798 0.00809 
 2454059.643819 14.65661 0.00803 
 2454059.648340 14.65570 0.00814 
 2454059.653704 14.65922 0.00780 
 2454059.659067 14.64631 0.00779 
 2454059.664434 14.65117 0.00778 
 2454059.666537 14.65213 0.00779 
 2454059.671060 14.65443 0.00794 
 2454059.675579 14.66220 0.00765 
 2454059.680103 14.65028 0.00754 
 2454059.684625 14.65267 0.00745 
 2454059.689144 14.64654 0.00755 
 2454059.693667 14.65972 0.00756 
 2454059.698190 14.65181 0.00747 
 2454059.702708 14.66505 0.00746 
 2454059.707232 14.65255 0.00732 
 2454059.711754 14.65335 0.00733 
 2454059.716273 14.66725 0.00724 
 2454059.720797 14.64858 0.00743 
 2454059.725318 14.64374 0.00736 
 2454060.580529 14.66926 0.00912 
 2454060.585051 14.63154 0.00904 
 2454060.589569 14.64239 0.00927 
 2454060.594094 14.64006 0.00921 
 2454060.598617 14.64246 0.00907 
 2454060.603135 14.64690 0.00888 
 2454060.607659 14.65149 0.00874 
 2454060.612185 14.64593 0.00846 
 2454060.616710 14.64520 0.00850 
 2454060.621233 14.65956 0.00860 
 2454060.625750 14.65175 0.00871 
 2454060.630275 14.65200 0.00858 
 2454060.634796 14.66257 0.00836 
 2454060.639314 14.65693 0.00817 
 2454060.643840 14.65368 0.00826 
 2454060.649210 14.65657 0.00776 
 2454060.654581 14.66780 0.00793 
 2454060.659952 14.65824 0.00772 
 2454060.665322 14.63524 0.00758 
 2454060.667427 14.64546 0.00777 
 2454060.671947 14.65781 0.00764 
 2454060.676475 14.65694 0.00766 
 2454060.680994 14.66414 0.00723 
 2454060.685518 14.65598 0.00742 
 2454060.690040 14.65655 0.00761 
 2454060.694558 14.64533 0.00776 
 2454060.699081 14.65986 0.00743 
 2454060.705749 14.65590 0.00779 
 2454060.710272 14.65394 0.00745 
 2454060.714790 14.65140 0.00741 
 2454060.719313 14.65935 0.00743 
 2454060.723837 14.65888 0.00732 
 2454061.580528 14.66696 0.00836 
 2454061.585051 14.65819 0.00811 
 2454061.589570 14.65158 0.00840 
 2454061.594095 14.65458 0.00829 
 2454061.598620 14.66652 0.00823 
 2454061.603145 14.64947 0.00838 
 2454061.607668 14.65936 0.00854 
 2454061.612184 14.66042 0.00822 
 2454061.616709 14.66002 0.00816 
 2454061.621231 14.65647 0.00807 
 2454061.625749 14.66124 0.00795 
 2454061.630274 14.66323 0.00807 
 2454061.634800 14.65747 0.00772 
 2454061.639326 14.65293 0.00776 
 2454061.644689 14.65870 0.00787 
 2454061.650057 14.64976 0.00739 
 2454061.655425 14.65970 0.00745 
 2454061.660795 14.65523 0.00732 
 2454061.662893 14.65440 0.00747 
 2454061.667415 14.65496 0.00743 
 2454061.671937 14.66399 0.00753 
 2454061.676463 14.65104 0.00757 
 2454061.680989 14.66185 0.00758 
 2454061.685514 14.64838 0.00753 
 2454061.690033 14.65827 0.00732 
 2454061.694557 14.65429 0.00736 
 2454061.699080 14.65250 0.00723 
 2454061.703604 14.66135 0.00727 
 2454061.708131 14.64361 0.00737 
 2454061.712655 14.65101 0.00743 
 2454061.717174 14.65482 0.00734 
 2454066.579809 14.65289 0.00900 
 2454066.584334 14.65862 0.00874 
 2454066.588851 14.66315 0.00922 
 2454066.593373 14.67343 0.00920 
 2454066.597899 14.66308 0.00934 
 2454066.602417 14.65656 0.00922 
 2454066.606942 14.66298 0.00886 
 2454066.611464 14.65501 0.00873 
 2454066.615989 14.66105 0.00869 
 2454066.620509 14.65087 0.00859 
 2454066.625032 14.65747 0.00876 
 2454066.629556 14.67042 0.00855 
 2454066.634920 14.66480 0.00833 
 2454066.640289 14.64780 0.00837 
 2454066.645658 14.66982 0.00843 
 2454066.647762 14.64489 0.00844 
 2454066.652278 14.64724 0.00798 
 2454066.656802 14.66472 0.01086 
 2454066.661325 14.64631 0.00922 
 2454066.670365 14.64642 0.00857 
 2454066.679406 14.65327 0.00969 
 2454066.683931 14.64913 0.00782 
 2454066.688452 14.65303 0.00826 
 2454066.692972 14.64901 0.00803 
 2454066.697497 14.65895 0.00784 
 2454066.702021 14.66510 0.00773 
 2454066.706547 14.66433 0.00765 
 2454077.579764 14.65632 0.00934 
 2454077.584281 14.65157 0.00922 
 2454077.588794 14.65549 0.00869 
 2454077.593309 14.66611 0.00874 
 2454077.597830 14.65700 0.00880 
 2454077.603194 14.64542 0.00959 
 2454077.613925 14.65331 0.00898 
 2454077.619287 14.64691 0.00884 
 2454077.621395 14.65305 0.00899 
 2454077.625912 14.66440 0.00900 
 2454077.630425 14.66190 0.00933 
 2454077.634939 14.65519 0.00983 
 2454077.639453 14.64894 0.01034 
 2454077.643967 14.65465 0.01062 
 2454077.648480 14.66957 0.01049 
 2454077.653002 14.65648 0.01041 
 2454077.657522 14.66413 0.01091 
 2454077.662044 14.66308 0.01092 
 2454077.666559 14.65057 0.01017 
 2454077.671072 14.65756 0.01009 
 2454077.675584 14.66402 0.01020 
 2454078.579757 14.65816 0.00920 
 2454078.584280 14.66135 0.00891 
 2454078.588798 14.65524 0.00876 
 2454078.593311 14.66254 0.00896 
 2454078.604034 14.64345 0.00877 
 2454078.609394 14.65652 0.00851 
 2454078.614762 14.65403 0.00860 
 2454078.616870 14.65538 0.00870 
 2454078.621392 14.64711 0.00842 
 2454078.625905 14.66295 0.00840 
 2454078.630419 14.65342 0.00817 
 2454078.634933 14.64954 0.00838 
 2454078.639446 14.64953 0.00908 
 2454078.643962 14.66290 0.00835 
 2454078.648475 14.65339 0.00865 
 2454078.652989 14.66145 0.00865 
 2454078.657502 14.66290 0.00872 
 2454078.662016 14.64853 0.00845 
 2454078.666530 14.66002 0.00867 
 2454078.671044 14.65424 0.00892 
 2454079.667575 14.64099 0.00828 
 2454080.579729 14.65796 0.00842 
 2454080.584243 14.64205 0.00844 
 2454080.588759 14.65450 0.00852 
 2454080.599487 14.65437 0.00836 
 2454080.604850 14.63690 0.00841 
 2454080.610210 14.65673 0.00794 
 2454080.612318 14.65068 0.00799 
 2454080.616835 14.65399 0.00825 
 2454080.621349 14.64538 0.00819 
 2454080.625864 14.66240 0.00813 
 2454080.630378 14.65380 0.00823 
 2454080.634893 14.65212 0.00853 
 2454080.639418 14.65084 0.00837 
 2454080.643933 14.64597 0.00858 
 2454080.648455 14.67276 0.00814 
 2454080.652970 14.65866 0.00845 
 2454080.657483 14.66306 0.00818 
 2454080.662000 14.66963 0.00804 
 2454080.666523 14.64586 0.00816 
 2454081.580718 14.65867 0.00862 
 2454081.585239 14.64793 0.00852 
 2454081.590603 14.66551 0.00851 
 2454081.595973 14.65033 0.00878 
 2454081.601342 14.65603 0.00852 
 2454081.606711 14.66383 0.00862 
 2454081.608820 14.65865 0.00878 
 2454081.613340 14.65640 0.00856 
 2454081.617854 14.65999 0.00850 
 2454081.622368 14.64982 0.00872 
 2454081.626882 14.65125 0.00877 
 2454081.631397 14.65856 0.00905 
 2454081.635918 14.66881 0.00836 
 2454081.640443 14.65214 0.00863 
 2454081.644959 14.65537 0.00893 
 2454081.649483 14.65421 0.00880 
 2454081.653999 14.66243 0.00885 
 2454081.658514 14.64869 0.00872 
 2454081.663037 14.64841 0.00880 
 2454082.580708 14.65297 0.00912 
 2454082.595951 14.65643 0.01001 
 2454082.601323 14.64129 0.00891 
 2454082.603432 14.65273 0.00908 
 2454082.607947 14.65219 0.00852 
 2454082.616975 14.64942 0.00821 
 2454082.630517 14.64883 0.00948 
 2454082.639545 14.67117 0.00950 
 2454082.644059 14.65582 0.00940 
 2454082.653086 14.65057 0.00835 
 2454082.657601 14.65962 0.00811 
 2454082.662115 14.66231 0.00962 
 2454083.580709 14.65397 0.00937 
 2454083.586072 14.66021 0.00914 
 2454083.591437 14.63893 0.00909 
 2454083.596800 14.66424 0.00876 
 2454083.602167 14.65939 0.00874 
 2454083.604270 14.65706 0.00881 
 2454083.613299 14.65617 0.00892 
 2454083.617814 14.65232 0.00834 
 2454083.626842 14.65285 0.00967 
 2454083.635870 14.67643 0.01261 
 2454083.640384 14.65544 0.00867 
 2454083.644898 14.65271 0.00900 
 2454083.649412 14.65537 0.00903 
 2454083.653926 14.64786 0.00901 
 2454093.581229 14.66297 0.01027 
 2454093.585959 14.63596 0.01023 
 2454093.590688 14.65890 0.01034 
 2454093.595418 14.65279 0.01053 
 2454093.600146 14.65585 0.01032 
 2454093.604873 14.65107 0.01023 
 2454093.609602 14.65481 0.00936 
 2454093.614332 14.65798 0.01010 
 2454093.619059 14.64806 0.01020 
 2454093.623785 14.64388 0.01067 
 2454093.628516 14.65581 0.01046 
 2454093.633243 14.64946 0.01055 
 2454107.587528 14.66364 0.00845 
 2454107.592258 14.65479 0.00883 
 2454108.588224 14.67088 0.00819 
 2454362.811812 14.65085 0.00847 
 2454362.822059 14.65384 0.00813 
 2454362.827601 14.65595 0.00815 
 2454362.833143 14.66021 0.00781 
 2454362.835339 14.65614 0.00788 
 2454362.840036 14.66294 0.00819 
 2454362.844725 14.65588 0.00814 
 2454362.849430 14.65266 0.00791 
 2454362.854127 14.65746 0.00792 
 2454362.858823 14.65907 0.00817 
 2454362.863510 14.65057 0.00772 
 2454362.868216 14.65686 0.00758 
 2454362.872913 14.65776 0.00786 
 2454362.877610 14.64059 0.00809 
 2454362.882298 14.65754 0.00828 
 2454362.887004 14.65430 0.00757 
 2454362.891700 14.65870 0.00780 
 2454362.896397 14.66032 0.00756 
 2454363.802049 14.64791 0.00811 
 2454363.806757 14.64809 0.00762 
 2454363.811465 14.64761 0.00779 
 2454363.817020 14.64834 0.00772 
 2454363.822575 14.65595 0.00756 
 2454363.828129 14.66060 0.00754 
 2454363.833682 14.64629 0.00746 
 2454363.835883 14.66227 0.00783 
 2454363.840589 14.65072 0.00760 
 2454363.845296 14.65229 0.00782 
 2454363.850002 14.65353 0.00759 
 2454363.854707 14.65471 0.00786 
 2454363.859413 14.65787 0.00726 
 2454363.864119 14.65717 0.00775 
 2454363.868825 14.65178 0.00752 
 2454363.873532 14.65419 0.00713 
 2454363.878238 14.65238 0.00762 
 2454363.882944 14.65169 0.00769 
 2454363.887652 14.65520 0.00772 
 2454363.892358 14.66300 0.00741 
 2454378.760995 14.63414 0.00887 
 2454378.770400 14.64474 0.00656 
 2454378.775947 14.65212 0.00885 
 2454378.792593 14.63610 0.00954 
 2454378.804192 14.66724 0.00526 
 2454378.818299 14.65657 0.00801 
 2454378.827703 14.65322 0.00673 
 2454379.801083 14.64257 0.00760 
 2454380.757100 14.66326 0.00907 
 2454380.761807 14.64578 0.01282 
 2454380.766514 14.65428 0.01435 
 2454380.772070 14.66671 0.00969 
 2454381.774033 14.65014 0.00808 
 2454381.779582 14.65828 0.00784 
 2454381.781780 14.65064 0.00830 
 2454381.786482 14.65444 0.00833 
 2454381.791186 14.65353 0.00795 
 2454381.795882 14.65649 0.00811 
 2454381.800593 14.65926 0.00819 
 2454381.805296 14.65429 0.00857 
 2454381.809999 14.65677 0.00765 
 2454381.814698 14.65255 0.00799 
 2454381.819406 14.66033 0.00782 
 2454381.824111 14.64741 0.00826 
 2454381.828812 14.65503 0.00782 
 2454381.833516 14.64829 0.00758 
 2454381.838216 14.65466 0.00760 
 2454381.842917 14.64482 0.00776 
 2454382.746250 14.65133 0.00790 
 2454382.750956 14.64933 0.00789 
 2454382.755662 14.64884 0.00792 
 2454382.760369 14.64582 0.00797 
 2454382.765923 14.64846 0.00781 
 2454382.771476 14.64878 0.00785 
 2454382.777030 14.64890 0.00805 
 2454382.779231 14.65614 0.00780 
 2454382.783922 14.64260 0.00813 
 2454382.788644 14.64456 0.00784 
 2454382.793352 14.64970 0.00765 
 2454382.798060 14.65235 0.00775 
 2454382.802760 14.66292 0.00774 
 2454382.807473 14.66293 0.00730 
 2454382.812182 14.65993 0.00776 
 2454382.816886 14.65114 0.00732 
 2454382.821589 14.65182 0.00786 
 2454382.826288 14.66501 0.00789 
 2454382.831003 14.65458 0.00804 
 2454382.835710 14.66692 0.00798 
 2454382.840417 14.65068 0.00773 
 2454384.745157 14.65886 0.00798 
 2454384.749865 14.64566 0.00821 
 2454384.754571 14.65323 0.00837 
 2454384.760120 14.66072 0.00777 
 2454384.765672 14.65723 0.00801 
 2454384.771224 14.65465 0.00790 
 2454384.773426 14.65888 0.00806 
 2454384.778130 14.65577 0.00788 
 2454384.782826 14.65325 0.00767 
 2454384.787542 14.66309 0.00792 
 2454384.792246 14.65982 0.00777 
 2454384.796954 14.66022 0.00776 
 2454384.801654 14.64453 0.00734 
 2454384.806372 14.65272 0.00796 
 2454384.811079 14.66286 0.00752 
 2454384.815787 14.66065 0.00794 
 2454384.820485 14.65686 0.00787 
 2454384.825198 14.65313 0.00801 
 2454384.829905 14.65891 0.00791 
 2454384.834609 14.65691 0.00791 
 2454385.738727 14.64480 0.00765 
 2454385.743430 14.66570 0.00763 
 2454385.748133 14.65115 0.00776 
 2454385.752836 14.66067 0.00756 
 2454385.758385 14.66660 0.00734 
 2454385.763935 14.65075 0.00741 
 2454385.769482 14.66409 0.00698 
 2454385.771679 14.65716 0.00738 
 2454385.776383 14.65891 0.00751 
 2454385.781089 14.66769 0.00727 
 2454385.785792 14.65710 0.00736 
 2454385.790495 14.64835 0.00751 
 2454385.795199 14.65974 0.00758 
 2454385.799903 14.66268 0.00707 
 2454385.804606 14.65933 0.00742 
 2454385.809308 14.66080 0.00740 
 2454385.814010 14.65618 0.00780 
 2454385.818714 14.65820 0.00741 
 2454385.823417 14.64821 0.00733 
 2454385.828119 14.66529 0.00761 
 2454385.832820 14.65347 0.00733 
 2454386.739956 14.65440 0.00798 
 2454386.744658 14.65250 0.00784 
 2454386.749361 14.66432 0.00771 
 2454386.754911 14.65931 0.00775 
 2454386.760459 14.65969 0.00753 
 2454386.766009 14.65567 0.00767 
 2454386.768209 14.65254 0.00722 
 2454386.772913 14.66534 0.00782 
 2454386.777616 14.65461 0.00756 
 2454386.782319 14.66432 0.00784 
 2454386.787024 14.65445 0.00805 
 2454386.791727 14.66404 0.00793 
 2454386.796430 14.65664 0.00756 
 2454386.801133 14.65786 0.00755 
 2454386.805838 14.65560 0.00788 
 2454386.810541 14.66075 0.00843 
 2454386.815243 14.66093 0.00791 
 2454386.819950 14.65223 0.00794 
 2454386.824654 14.65583 0.00812 
 2454386.829357 14.65287 0.00783 
 2454387.727807 14.65274 0.00795 
 2454387.732509 14.65143 0.00864 
 2454387.737210 14.66657 0.00836 
